gnd,pctile,year,count,hh_inc,le_agg,le_raceadj
F,31,2003,422802,37204.28,84.69895,84.71145
F,31,2004,430195,36610.22,85.0876,85.09187
F,31,2005,435946,36228.87,84.36462,84.37965
F,31,2006,440857,36337.65,85.14892,85.15207
F,31,2007,445355,36139.25,85.77401,85.76116
F,31,2008,450591,36179.54,84.80283,84.81537
F,31,2009,461220,35573.15,85.23766,85.23888
F,31,2010,461013,34670.53,85.08829,85.10341
F,31,2011,459361,33733.73,85.87016,85.86718
F,31,2012,459987,33176.41,85.34667,85.33932
F,31,2013,457357,32420.45,84.36253,84.37711
F,31,2014,440461,31039.49,85.37231,85.36409
F,32,2001,400559,38316.67,83.81038,83.85778
F,32,2002,413481,38831.03,83.51371,83.56214
F,32,2003,422703,38301.1,83.26916,83.31708
F,32,2004,430118,37687.6,82.90543,82.96244
F,32,2005,435800,37307.68,85.21432,85.22327
F,32,2006,441073,37432.57,84.28693,84.30984
F,32,2007,445305,37235.61,84.37069,84.39207
F,32,2008,450632,37287.07,84.99638,85.00107
F,32,2009,461377,36680.44,85.35142,85.3604
F,32,2010,461060,35742.15,84.79064,84.82293
F,32,2011,459350,34778.92,84.66586,84.6889
F,32,2012,459972,34201.19,86.08334,86.06731
F,32,2013,457352,33434.95,85.54046,85.53311
F,32,2014,440294,32010.07,85.80566,85.79112
F,33,2001,400624,39437.1,83.69881,83.74871
F,33,2002,413529,39967.3,83.95261,83.99079
F,33,2003,422688,39412.44,83.95506,83.99149
F,33,2004,430295,38781.15,83.55775,83.60287
F,33,2005,435968,38394.17,84.7438,84.75768
F,33,2006,441060,38538.79,85.37846,85.38638
F,33,2007,445448,38343.37,84.44939,84.47243
F,33,2008,450552,38408.66,85.34282,85.35174
F,33,2009,461271,37809.12,85.12707,85.14352
F,33,2010,461125,36833.65,84.93639,84.97075
F,33,2011,459397,35836.93,85.59203,85.60318
F,33,2012,459880,35244.43,86.35516,86.33614
F,33,2013,457408,34468.51,84.88147,84.89429
F,33,2014,440394,32989.58,86.12646,86.11218
F,34,2001,400543,40573.44,83.24331,83.30643
F,34,2002,413608,41117.87,83.17457,83.23318
F,34,2003,422669,40535.78,83.76434,83.80749
F,34,2004,430128,39885.9,83.70963,83.75329
F,34,2005,435797,39494.05,84.57712,84.59994
F,34,2006,441023,39657.3,84.4629,84.49135
F,34,2007,445484,39469.02,84.97864,84.99134
F,34,2008,450596,39543.86,85.43622,85.44215
F,34,2009,461323,38950.05,84.69687,84.72237
F,34,2010,461151,37941.92,85.81818,85.83126
F,34,2011,459481,36909.58,86.11179,86.10699
F,34,2012,459953,36307.36,84.83049,84.85217
