cz,czname,pop2000,fips,statename,stateabbrv,le_raceadj_q1_F,le_raceadj_q1_M,count_q1_F,count_q1_M
30601,El Paso,857648.0,48,Texas,TX,81.72616,76.43487,880311,798478
30602,Alamogordo,81709.0,35,New Mexico,NM,79.97362,76.24264,61899,56155
30604,Deming,61950.0,35,New Mexico,NM,82.09563,76.5925,60326,60953
30701,Roswell,113040.0,35,New Mexico,NM,79.67118,74.94825,86516,78743
30801,Hobbs,90061.0,35,New Mexico,NM,79.21262,74.1097,60678,54696
30802,Lubbock,287568.0,48,Texas,TX,79.85723,74.94207,197723,170857
30901,Clovis,73078.0,35,New Mexico,NM,80.49722,76.18832,51027,47782
30902,Littlefield,29588.0,48,Texas,TX,77.8542,76.64478,22219,22960
30903,Amarillo,240752.0,48,Texas,TX,80.24065,75.02464,157947,143662
30904,Pampa,57355.0,48,Texas,TX,78.43761,75.22321,31814,26847
30908,Plainview,52751.0,48,Texas,TX,80.16868,76.00471,38094,37317
31001,Garden City,52031.0,20,Kansas,KS,80.64428,75.75245,25151,25785
31004,Liberal,32998.0,20,Kansas,KS,79.49873,77.68233,16140,17947
31006,Guymon,29937.0,40,Oklahoma,OK,79.55327,77.96146,15596,16885
31007,Dumas,31880.0,48,Texas,TX,80.33516,76.98114,18086,18927
31101,Victoria,165277.0,48,Texas,TX,81.24851,74.68058,118855,100981
31102,La Grange,42194.0,48,Texas,TX,82.13679,76.52426,30241,28983
31201,Austin,1298076.0,48,Texas,TX,82.29153,77.30391,698860,715216
31202,Burnet,51191.0,48,Texas,TX,82.72254,77.17535,42068,37892
31301,San Antonio,1724863.0,48,Texas,TX,80.76361,75.23521,1328108,1203985
31302,Beeville,47805.0,48,Texas,TX,80.34844,72.59494,30412,26805
31303,Kerrville,64467.0,48,Texas,TX,82.95071,77.05132,53015,49496
31401,Midland,262282.0,48,Texas,TX,79.21758,73.58319,180383,148139
31402,Pecos,31286.0,48,Texas,TX,79.02034,72.21201,23113,19241
31503,Laredo,210580.0,48,Texas,TX,82.26313,75.8611,226108,212609
31600,Brownsville,978369.0,48,Texas,TX,82.67953,77.4717,1082910,986632
31700,Corpus Christi,503493.0,48,Texas,TX,79.88952,73.6481,406772,345065
31800,College Station,208437.0,48,Texas,TX,81.42781,76.56981,114073,103558
31900,Pearland,320912.0,48,Texas,TX,80.25018,75.22861,199214,170166
32000,Houston,4504013.0,48,Texas,TX,81.79932,76.69479,2979966,2742043
32100,Beaumont,497770.0,48,Texas,TX,82.0179,75.64719,373485,298321
32201,Huntsville,191792.0,48,Texas,TX,80.77265,76.07342,135678,113828
32202,Nacogdoches,103842.0,48,Texas,TX,81.40745,76.59846,82898,71232
32301,San Angelo,113973.0,48,Texas,TX,80.12917,75.90457,79769,73128
32304,Uvalde,35212.0,48,Texas,TX,81.70603,77.58992,34750,32984
32305,Del Rio,49316.0,48,Texas,TX,80.51917,76.2048,47627,42448
32306,Eagle Pass,47297.0,48,Texas,TX,81.29448,75.3156,64773,65610
32401,Big Spring,54073.0,48,Texas,TX,79.82705,73.61645,33856,31416
32403,Snyder,26918.0,48,Texas,TX,81.60351,72.88719,16485,13975
32501,Abilene,191518.0,48,Texas,TX,80.21456,75.32426,136403,121046
32601,Wichita Falls,151524.0,48,Texas,TX,79.18387,74.13391,90193,79869
32602,Graham,28556.0,48,Texas,TX,81.19162,75.85011,21995,19848
32701,Brownwood,58246.0,48,Texas,TX,80.51785,75.81846,45865,42776
32702,Stephenville,55256.0,48,Texas,TX,82.02058,77.24316,37263,37137
32801,Waco,281618.0,48,Texas,TX,80.13196,75.62485,198614,180805
32802,Corsicana,100377.0,48,Texas,TX,81.34312,76.56716,81335,70546
32900,Killeen,330714.0,48,Texas,TX,80.77686,75.40652,202768,172594
33000,Fort Worth,1804370.0,48,Texas,TX,81.19738,75.81966,1086198,1008941
33100,Dallas,3405666.0,48,Texas,TX,81.98491,77.34837,1969306,1939903
33200,Paris,185835.0,48,Texas,TX,80.44071,75.45776,148546,132898
33300,Tyler,434643.0,48,Texas,TX,81.92828,76.06342,332980,288914
33400,Longview,289849.0,48,Texas,TX,82.13169,75.3212,224192,180248
33500,Texarkana,235988.0,48,Texas,TX,81.17332,76.13428,190387,156171
33601,Lawton,171610.0,40,Oklahoma,OK,80.29882,74.15424,116919,97751
33602,Altus,48010.0,40,Oklahoma,OK,81.17672,76.26353,32106,30674
33700,Ardmore,117982.0,40,Oklahoma,OK,80.1704,75.25594,100146,89621
33801,Elk City,60885.0,40,Oklahoma,OK,80.48496,75.50207,39149,35845
33802,Chickasha,75666.0,40,Oklahoma,OK,80.7949,76.00138,53569,49059
33803,Oklahoma City,1154246.0,40,Oklahoma,OK,80.15029,74.98614,740221,669946
33901,Ada,69207.0,40,Oklahoma,OK,81.19442,75.43467,56660,51362
33902,Sherman,178371.0,48,Texas,TX,81.15858,75.78617,136540,123447
34001,Hot Springs,210357.0,5,Arkansas,AR,81.40149,75.65954,185032,168262
34002,Idabel,97397.0,40,Oklahoma,OK,81.01694,76.32616,94830,88592
34102,Anchorage,369296.0,2,Alaska,AK,81.98357,76.14143,167752,184865
34109,Juneau,37347.0,2,Alaska,AK,84.98414,79.61101,15568,19449
34115,Fairbanks,97458.0,2,Alaska,AK,83.18427,76.95876,40061,47179
