gnd,year,age,dm1_pop,dm1_dead,cdc_dead,cdc_pop
F,2008,55,2358980,9113,9341,2035932
F,2009,55,2441276,9438,9727,2099236
F,2010,55,2471279,9412,9631,2181236
F,2011,55,2533159,9906,10212,2187645
F,2012,55,2582470,10161,10465,2251970
F,2013,55,2557632,10048,10694,2260195
F,2014,55,2584480,10351,11028,2263367
F,2001,56,1696975,7246,7958,1463829
F,2002,56,1991900,8533,7961,1463840
F,2003,56,2212491,9388,9833,1941139
F,2004,56,2141960,8950,9456,1850723
F,2005,56,2159154,8932,9364,1863943
F,2006,56,2173631,8983,9397,1930335
F,2007,56,2242385,9146,9446,1936853
F,2008,56,2319683,9488,9799,1980548
F,2009,56,2349867,9692,10093,2048144
F,2010,56,2431838,10074,10338,2081372
F,2011,56,2461867,10111,10407,2173959
F,2012,56,2523253,10652,11110,2179804
F,2013,56,2572309,10982,11397,2243717
F,2014,56,2547584,11219,11703,2254749
F,2001,57,1698372,8274,8815,1447922
F,2002,57,1689729,7941,8552,1459583
F,2003,57,1983367,9154,8660,1458769
F,2004,57,2203103,10094,10556,1933353
F,2005,57,2133010,9560,10221,1842786
F,2006,57,2150222,9556,10088,1855370
F,2007,57,2164648,9483,10007,1920539
F,2008,57,2233239,9883,10054,1926122
F,2009,57,2310195,10252,10392,1968595
F,2010,57,2340175,10233,10529,2031031
F,2011,57,2421764,10907,11308,2098676
F,2012,57,2451756,11172,11452,2165714
F,2013,57,2512601,11535,11907,2171182
F,2014,57,2561327,11867,12409,2237030
F,2001,58,1739051,9390,9815,1500388
F,2002,58,1690098,8864,9401,1444145
F,2003,58,1681788,8714,9403,1456110
F,2004,58,1974213,9873,9234,1455355
F,2005,58,2193009,10895,11305,1929365
F,2006,58,2123450,10427,11030,1839667
F,2007,58,2140666,10286,10676,1852510
F,2008,58,2155165,10140,10720,1918225
F,2009,58,2223356,10576,10813,1924101
F,2010,58,2299943,10857,11171,1960120
F,2011,58,2329942,11333,11376,2026114
F,2012,58,2410857,11624,11875,2089942
F,2013,58,2440584,11958,12323,2156648
F,2014,58,2501066,12435,12721,2163798
F,2001,59,1686873,9811,9723,1333019
F,2002,59,1729661,9917,10481,1494071
F,2003,59,1681234,9722,10301,1437588
F,2004,59,1673074,9155,9757,1449103
F,2005,59,1964340,10517,9822,1448128
F,2006,59,2182114,11735,12186,1919090
F,2007,59,2113023,11152,11709,1829151
F,2008,59,2130380,11132,11371,1841411
F,2009,59,2145025,10924,11474,1906141
F,2010,59,2212780,11450,11517,1887398
F,2011,59,2289086,11650,11840,1953103
F,2012,59,2318609,11909,12333,2016678
F,2013,59,2399233,12516,12664,2080306
F,2014,59,2428626,12737,13317,2148517
F,2001,60,1516200,9521,9811,1241416
F,2002,60,1677062,10483,10440,1323400
F,2003,60,1719744,10800,11428,1481214
F,2004,60,1671512,10154,10618,1423305
F,2005,60,1663919,9832,10360,1433435
F,2006,60,1953823,11308,10567,1430756
F,2007,60,2170379,12329,12785,1893411
F,2008,60,2101871,11889,12600,1802265
F,2009,60,2119248,12082,12433,1811564
F,2010,60,2134101,11589,12037,1875624
F,2011,60,2201330,12021,12231,1903293
F,2012,60,2277436,12821,12860,1942997
F,2013,60,2306700,12825,13300,2006745
F,2014,60,2386717,13655,13950,2071358
F,2001,61,1458210,9973,10330,1213556
F,2002,61,1506679,10285,10537,1238720
F,2003,61,1666579,11474,11140,1322858
F,2004,61,1708944,11282,12004,1482907
F,2005,61,1661358,10800,11446,1428216
F,2006,61,1654087,10337,11048,1441590
F,2007,61,1942515,11762,10996,1441286
F,2008,61,2158050,13466,13933,1911784
F,2009,61,2089982,12699,13296,1823104
F,2010,61,2107166,12530,12934,1813519
F,2011,61,2122512,12459,12871,1861920
F,2012,61,2189309,13210,13443,1893029
F,2013,61,2264615,13541,13757,1932477
F,2014,61,2293875,13952,14487,1997348
F,2001,62,1387081,10475,11082,1156768
F,2002,62,1448237,10838,11096,1207560
F,2003,62,1496394,11104,11526,1232608
F,2004,62,1655105,12043,11782,1316213
F,2005,62,1697662,12247,13032,1475790
F,2006,62,1650558,11718,12271,1422085
F,2007,62,1643750,11200,11759,1435809
F,2008,62,1930753,13212,12049,1435908
F,2009,62,2144584,14180,14667,1905712
F,2010,62,2077283,13626,14148,1850490
F,2011,62,2094636,13396,14066,1815820
F,2012,62,2110053,13449,13856,1851190
F,2013,62,2176099,14086,14272,1881064
F,2014,62,2251074,14847,15106,1922318
F,2001,63,1376895,11575,11904,1141614
F,2002,63,1376606,11253,11690,1150553
F,2003,63,1437399,11814,11980,1201532
F,2004,63,1485290,11809,11937,1226632
F,2005,63,1643062,13276,12736,1310319
F,2006,63,1685415,13167,13679,1469890
F,2007,63,1638840,12496,12827,1417309
F,2008,63,1632550,12248,12780,1431620
F,2009,63,1917541,14020,12908,1432316
F,2010,63,2130404,15358,15631,1811555
F,2011,63,2063657,14874,15372,1801788
F,2012,63,2081240,14628,15102,1803760
F,2013,63,2096604,14578,15109,1837353
F,2014,63,2162013,15538,15636,1870552
F,2001,64,1313945,12167,12332,1080816
F,2002,64,1365320,12422,12605,1131435
F,2003,64,1365353,12427,12833,1139251
F,2004,64,1425585,12379,12561,1188741
F,2005,64,1473481,12845,12808,1212791
F,2006,64,1629786,13764,13169,1294668
F,2007,64,1672248,13793,14257,1451383
F,2008,64,1626344,13435,13985,1397948
F,2009,64,1620302,13088,13362,1410628
F,2010,64,1903521,14880,13571,1389236
F,2011,64,2115046,16530,16991,1881617
F,2012,64,2048783,15784,16159,1788224
F,2013,64,2066612,15890,16379,1789989
F,2014,64,2082026,15980,16253,1826662
F,2001,65,1272605,12718,13193,1068644
F,2002,65,1301778,12802,13046,1073097
F,2003,65,1352898,13318,13333,1124059
F,2004,65,1352926,12827,13158,1132615
F,2005,65,1413206,13038,13226,1183371
F,2006,65,1460636,13449,13386,1208196
F,2007,65,1616022,14623,14160,1290637
F,2008,65,1658455,15134,15371,1448356
F,2009,65,1612909,14264,14679,1396005
F,2010,65,1607214,13882,14216,1407451
F,2011,65,1888641,16088,14478,1400553
F,2012,65,2098516,17570,17897,1866012
F,2013,65,2032999,17234,17798,1775062
F,2014,65,2050722,16931,17247,1776761
F,2001,66,1257560,13982,14295,1075042
F,2002,66,1259887,13603,13899,1058192
F,2003,66,1288976,13740,13730,1062639
F,2004,66,1339580,13712,13962,1112641
F,2005,66,1340099,13751,13977,1121292
F,2006,66,1400168,13696,13688,1171707
F,2007,66,1447187,14280,14065,1195702
F,2008,66,1601399,15644,14978,1277374
F,2009,66,1643321,15737,15988,1433620
F,2010,66,1598645,15120,15551,1390865
F,2011,66,1593332,14732,14986,1391276
F,2012,66,1872553,17042,15381,1388112
F,2013,66,2080946,19191,19252,1851206
F,2014,66,2015765,18038,18776,1758649
F,2001,67,1221093,14774,14971,993065
F,2002,67,1243578,14681,15318,1064068
F,2003,67,1246284,14324,14955,1048005
F,2004,67,1275236,14588,14607,1052462
F,2005,67,1325868,14673,14804,1102944
F,2006,67,1326348,14277,14652,1112106
F,2007,67,1386472,14738,14638,1162703
F,2008,67,1432907,15478,15234,1186870
F,2009,67,1585755,16343,15799,1268698
F,2010,67,1627584,16829,17027,1400459
