cz,czname,pop2000,fips,statename,stateabbrv,le_raceadj_slope_q1_F,le_raceadj_slope_q1_M,count_q1_F,count_q1_M
10900,Pensacola,623252.0,12,Florida,FL,-0.1462523,-0.1603002,399595,359206
11001,Mobile,599405.0,1,Alabama,AL,0.3072448,0.0093011,444309,349004
11302,Baltimore,2512431.0,24,Maryland,MD,0.0501752,0.1215179,1076217,993416
11304,Washington DC,4632415.0,11,District of Columbia,DC,0.1185244,0.1727829,1761982,1752367
11600,Detroit,5327827.0,26,Michigan,MI,0.0525077,0.119939,2497223,2151639
12200,Grand Rapids,1286045.0,26,Michigan,MI,0.1216543,0.1183244,561222,524466
12501,Dayton,1179009.0,39,Ohio,OH,0.0689043,0.0799068,582226,531547
12701,Cincinnati,1954800.0,39,Ohio,OH,0.2144198,0.2719966,887372,841265
13101,Louisville,1100767.0,21,Kentucky,KY,0.1186139,0.2570515,594123,567949
13501,Toledo,834343.0,39,Ohio,OH,0.1546629,0.0327158,389280,338824
